packet_size,%count,%count
908,67.40813675,57.62807249
909,67.41255692,57.63135774
910,67.41666899,57.63559548
911,67.41960039,57.63876067
912,67.4221801,57.64221709
913,67.42488952,57.64590174
914,67.42895442,57.64946271
915,67.43170639,57.65299631
916,67.43451168,57.65635741
917,67.43721341,57.71636618
918,67.44035398,57.72017385
919,67.4440067,57.7243829
920,67.44697552,57.72799829
921,67.44962855,57.73406351
922,67.45588046,57.74010994
923,67.4585904,57.74451885
924,67.46180889,57.74827803
925,67.46736204,57.75416186
926,67.47018117,57.75848568
927,67.47329713,57.76262184
928,67.47651306,57.76697865
929,67.47983665,57.77546369
930,67.48279266,57.78253748
931,67.48554976,57.78691341
932,67.48890052,57.79063895
933,67.49172529,57.7942738
934,67.49450545,57.79790238
935,67.49905943,57.80203689
936,67.50213489,57.80570571
937,67.50516472,57.80976106
938,67.51071429,57.81470295
939,67.51429524,57.81828635
940,67.51735634,57.82193373
941,67.51991709,57.82506099
942,67.5236098,57.82915857
943,67.52739529,57.83313048
944,67.5308291,57.8364619
945,67.53401069,57.83982037
946,67.5384406,57.84346016
947,67.54202872,57.8469489
948,67.54554456,57.85025525
949,67.54882918,57.85342672
950,67.55243012,57.8566681
951,67.55675084,57.8610348
952,67.56044765,57.86419373
953,67.56395887,57.86717291
954,67.57181029,57.87174706
955,67.57610435,57.87473349
956,67.57993445,57.88056092
957,67.58387733,57.88469543
958,67.58838722,57.88870923
959,67.59211889,57.89190213
960,67.59585261,57.89486186
961,67.59948328,57.90111837
962,67.60356356,57.90468495
963,67.6071645,57.90781716
964,67.61067931,57.91194178
965,67.61423052,57.91596811
966,67.61776122,57.9219113
967,67.62175589,57.92548942
968,67.62568185,57.93132477
969,67.62917821,57.93420699
970,67.63353481,57.93780918
971,67.63717266,57.94054496
972,67.64062595,57.94350403
973,67.64417665,57.94653202
974,67.64946835,57.9508631
975,67.65451141,57.95418562
976,67.65842405,57.95777462
977,67.66240794,57.96143354
978,67.66616935,57.96566996
979,67.66968723,57.96945421
980,67.67344197,57.97361907
981,67.67684348,57.97808141
982,67.68042033,57.98313148
983,67.68442883,57.98883622
984,67.68793185,57.99437341
985,67.69177374,57.99947328
986,67.69833428,58.00681685
987,67.70205006,58.01234943
988,67.70523471,58.01741961
989,67.70843577,58.02246308
990,67.71193213,58.02846333
991,67.7153398,58.03356551
992,67.71872849,58.03932368
993,67.72211975,58.04486582
994,67.72559868,58.05089971
995,67.72911349,58.05546133
996,67.7329764,58.05967796
997,67.73657836,58.06538732
998,67.74168499,58.07161349
999,67.74609183,58.07587333
1000,67.74999114,58.07966385
1001,67.75361259,58.08299791
1002,67.75888275,58.08833557
1003,67.76298303,58.09240181
1004,67.76701255,58.09816261
1005,67.7705166,58.10160287
1006,67.77449639,58.10642636
1007,67.77844799,58.11025183
1008,67.78224374,58.11416834
1009,67.78788764,58.11782462
1010,67.79228731,58.1230076
1011,67.7962589,58.12715168
