IP Total Length (bytes),%count,%count
960,43.40609272,44.25270739
961,43.41029687,44.25735265
962,43.41524291,44.26225798
963,43.42099771,44.26817869
964,43.42819956,44.27455589
965,43.43421168,44.28000073
966,43.4405981,44.28571116
967,43.44687424,44.2915461
968,43.45336091,44.29794544
969,43.4591391,44.30392701
970,43.46563915,44.31016589
971,43.47141733,44.31616129
972,43.48068449,44.32489018
973,43.48708428,44.33042908
974,43.49300951,44.33559725
975,43.49857382,44.34099505
976,43.50465278,44.34718412
977,43.50974921,44.35218629
978,43.51515645,44.35747619
979,43.51958116,44.36178945
980,43.5249249,44.36716235
981,43.53081671,44.37255185
982,43.53583628,44.37741291
983,43.54007384,44.38190324
984,43.544933,44.38649594
985,43.54976543,44.3914317
986,43.55429373,44.39592756
987,43.55850456,44.40014676
988,43.56449997,44.40546432
989,43.57021466,44.41161466
990,43.57649414,44.41898511
991,43.58081859,44.42443824
992,43.58603534,44.42980284
993,43.59270916,44.43500698
994,43.60358713,44.44640018
995,43.60862341,44.45091818
996,43.61587873,44.45860403
997,43.62026334,44.46253549
998,43.71445215,44.55260489
999,43.71826863,44.55648655
1000,43.72547382,44.56376846
1001,43.73064712,44.56901133
1002,43.73520885,44.57341866
1003,43.73982739,44.57759635
1004,43.7474804,44.58348662
1005,43.75230948,44.58799631
1006,43.75760643,44.59294038
1007,43.76207458,44.59752754
1008,44.07081165,44.88487813
1009,44.07489548,44.88879852
1010,44.07959757,44.89329162
1011,44.08336392,44.89702388
1012,44.08864416,44.90204264
1013,44.09304548,44.9065219
1014,44.0975671,44.9112059
